Time 	VolPulse	BloodFlow	ECG	
3.435	-0.240	-1.945	-103.400	
3.440	-0.250	-2.340	-102.100	
3.445	-0.260	-2.777	-105.300	
3.450	-0.280	-3.492	-88.300	
3.455	-0.300	-3.744	-77.600	
3.460	-0.310	-3.666	-97.200	
3.465	-0.330	-3.863	-95.400	
3.470	-0.350	-3.881	-63.400	
3.475	-0.360	-3.558	-41.600	
3.480	-0.380	-3.627	-65.200	
3.485	-0.400	-3.903	-82.400	
3.490	-0.420	-3.777	-71.200	
3.495	-0.430	-3.781	-51.600	
3.500	-0.450	-4.158	-42.400	
3.505	-0.470	-4.214	-71.500	
3.510	-0.490	-4.118	-73.300	
3.515	-0.510	-4.449	-54.200	
3.520	-0.530	-4.630	-51.300	
3.525	-0.550	-4.367	-53.600	
3.530	-0.570	-4.346	-56.000	
3.535	-0.590	-4.414	-50.500	
3.540	-0.600	-4.001	-53.200	
3.545	-0.620	-3.644	-59.200	
3.550	-0.640	-3.636	-48.500	
