Interval=	0.005 s
ExcelDateTime=	4.4476799837398881e+004	10/7/2021 19:11:45.951264
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Vol. Pulse	Blood Flow	ECG
Range=	20.00 mV.s	200.0 mV	500.0 µV
3.38	-0.39	1.5	104.8
3.385	-0.38	0.1	101.4
3.39	-0.38	-0.9	104.7
3.395	-0.39	-1.9	103.8
3.4	-0.40	-3.1	100.4
3.405	-0.41	-4.4	103.7
3.41	-0.44	-5.8	98.9
3.415	-0.47	-6.6	94.4
3.42	-0.50	-6.8	98.4
3.425	-0.53	-6.9	109.4
3.43	-0.56	-6.9	105.9
3.435	-0.59	-6.6	100.5
3.44	-0.62	-5.8	111.5
3.445	-0.65	-5.1	103.7
3.45	-0.67	-4.9	92.3
3.455	-0.69	-4.9	102.2
3.46	-0.71	-5.1	105.1
3.465	-0.73	-5.2	94.7
3.47	-0.76	-5.2	96.3
3.475	-0.78	-5.1	103.6
3.48	-0.80	-5.4	103.6
3.485	-0.82	-5.6	108.4
3.49	-0.85	-5.8	110.9
3.495	-0.88	-6.2	103.3
3.5	-0.90	-6.8	98.4
3.505	-0.93	-7.2	109.3
3.51	-0.97	-7.6	112.6
3.515	-1.00	-7.9	105.5
3.52	-1.04	-7.6	113.0
3.525	-1.07	-7.0	112.0
3.53	-1.10	-6.3	97.5
3.535	-1.12	-5.7	99.3
3.54	-1.14	-5.1	118.1
3.545	-1.16	-4.5	113.8
3.55	-1.18	-4.0	99.2
3.555	-1.19	-3.3	108.3
3.56	-1.20	-2.9	117.7
3.565	-1.21	-2.6	117.6
3.57	-1.21	-2.1	110.5
3.575	-1.22	-1.6	110.6
3.58	-1.22	-1.3	111.9
3.585	-1.22	-1.1	115.0
3.59	-1.22	-0.7	123.6
3.595	-1.22	-0.4	115.5
3.6	-1.21	-0.2	105.7
3.605	-1.21	0.1	109.9
3.61	-1.20	0.3	118.8
3.615	-1.19	0.5	119.4
3.62	-1.18	0.7	116.9
3.625	-1.17	0.8	117.0
